timestamp,sensorName,value
2023-10-01T00:00:00+00:00,Sensor_A,65.41
2023-10-01T00:00:01+00:00,Sensor_C,88.33
2023-10-01T00:00:02+00:00,Sensor_B,22.31
2023-10-01T00:00:03+00:00,Sensor_D,71.48
2023-10-01T00:00:04+00:00,Sensor_D,62.15
2023-10-01T00:00:05+00:00,Sensor_D,7.21
2023-10-01T00:00:06+00:00,Sensor_B,9.01
2023-10-01T00:00:07+00:00,Sensor_C,52.53
2023-10-01T00:00:08+00:00,Sensor_D,8.32
2023-10-01T00:00:09+00:00,Sensor_D,61.98
2023-10-01T00:00:10+00:00,Sensor_D,20.73
2023-10-01T00:00:11+00:00,🔥Sensor,57.33
2023-10-01T00:00:12+00:00,Sensor_C,36.9
2023-10-01T00:00:13+00:00,Sensor_C,52.33
2023-10-01T00:00:14+00:00,Sensor_D,89.87
invalid_time_string,Sensor_B,50.17
2023-10-01T00:00:16+00:00,Sensor_B,14.88
2023-10-01T00:00:17+00:00,Sensor_A,19.66
2023-10-01T00:00:18+00:00,Sensor_B,83.33
2023-10-01T00:00:19+00:00,Sensor_D,26.72
2023-10-01T00:00:20+00:00,Sensor_C,15.07
2023-10-01T00:00:21+00:00,Sensor_A,30.67
2023-10-01T00:00:22+00:00,Sensor_A,1.31
2023-10-01T00:00:23+00:00,Sensor_D,60.22
2023-10-01T00:00:24+00:00,Sensor_A,75.16
2023-10-01T00:00:25+00:00,Sensor_B,56.05
2023-10-01T00:00:26+00:00,Sensor_A,64.35
2023-10-01T00:00:27+00:00,Sensor_B,3.1415926535897932384
2023-10-01T00:00:28+00:00,Sensor_B,25.44
2023-10-01T00:00:29+00:00,Sensor_D,98.89
2023-10-01T00:00:30+00:00,Sensor_B,1.76
2023-10-01T00:00:31+00:00,Sensor_A,9.08
2023-10-01T00:00:32+00:00,Sensor_C,20.45
2023-10-01T00:00:33+00:00,Sensor_C,13.92
2023-10-01T00:00:34+00:00,Sensor_A,27.07
2023-10-01T00:00:35+00:00,Sensor_D,85.36
2023-10-01T00:00:36+00:00,Sensor_C,5.48
2023-10-01T00:00:37+00:00,Sensor_A,13.11
2023-10-01T00:00:38+00:00,Sensor_D,65.75
2023-10-01T00:00:39+00:00,Sensor_D,61.9
2023-10-01T00:00:40+00:00,Sensor_B,43.21
2023-10-01T00:00:41+00:00,Sensor_C,47.07
2023-10-01T00:00:42+00:00,Sensor_D,42.69
2023-10-01T00:00:43+00:00,Sensor_C,12.66
2023-10-01T00:00:44+00:00,Sensor_C,64.13
2023-10-01T00:00:45+00:00,Sensor_A,83.22
2023-10-01T00:00:46+00:00,Sensor_D,25.53
2023-10-01T00:00:47+00:00,Sensor_D,68.68
2023-10-01T00:00:48+00:00,Sensor_D,63.44
2023-10-01T00:00:49+00:00,Sensor_B,78.78
2023-10-01T00:00:50+00:00,Sensor_C,37.63
2023-10-01T00:00:51+00:00,Sensor_A,93.36
2023-10-01T00:00:52+00:00,Sensor_C,93.39
2023-10-01T00:00:53+00:00,Sensor_C,70.28
2023-10-01T00:00:54+00:00,sénsor#@!,30.23
2023-10-01T00:00:55+00:00,Sensor_A,25.83
2023-10-01T00:00:56+00:00,Sensor_C,68.16
2023-10-01T00:00:57+00:00,Sensor_A,18.93
2023-10-01T00:00:58+00:00,Sensor_B,3.1415926535897932384
2023-10-01T00:00:59+00:00,Sensor_C,34.1
2023-10-01T00:01:00+00:00,Sensor_D,77.58
2023-10-01T00:01:01+00:00,Sensor_B,16.27
